PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
58;2;I60;NULL;15_70 a 74;2
99;2;I33;NULL;07_30 a 34;1
18;2;C55;NULL;16_75 a 79;5
06;2;X70;NULL;05_20 a 24;13
02;2;C49;NULL;14_65 a 69;1
06;1;V43;NULL;16_75 a 79;2
06;1;Y70;NULL;05_20 a 24;1
26;1;K70;NULL;11_50 a 54;6
66;2;J84;NULL;15_70 a 74;5
06;2;V48;NULL;03_10 a 14;1
14;2;C54;NULL;12_55 a 59;8
78;1;I71;NULL;10_45 a 49;1
82;1;C71;NULL;16_75 a 79;3
50;1;C17;NULL;14_65 a 69;1
66;1;I62;NULL;13_60 a 64;1
46;1;K92;NULL;12_55 a 59;1
86;2;I25;NULL;15_70 a 74;1
66;1;R56;NULL;17_80 y más;1
50;2;A09;NULL;14_65 a 69;1
86;2;V24;NULL;06_25 a 29;1
06;1;K72;NULL;04_15 a 19;1
14;1;C20;NULL;15_70 a 74;3
14;1;N49;NULL;13_60 a 64;1
06;1;W70;NULL;16_75 a 79;1
54;2;N18;NULL;08_35 a 39;1
30;1;I25;NULL;14_65 a 69;2
14;1;M32;NULL;12_55 a 59;2
22;1;I26;NULL;17_80 y más;3
06;2;E84;NULL;03_10 a 14;1
06;1;H18;NULL;10_45 a 49;1
66;1;C23;NULL;15_70 a 74;2
14;1;N19;NULL;02_1 a 9;1
18;2;E11;NULL;15_70 a 74;3
62;1;N18;NULL;17_80 y más;16
66;2;L97;NULL;17_80 y más;1
62;2;Q31;NULL;01_Menor de 1 año;1
66;2;I64;NULL;17_80 y más;37
30;1;X70;NULL;07_30 a 34;17
99;2;R99;NULL;13_60 a 64;1
26;1;C60;NULL;14_65 a 69;1
58;2;C45;NULL;16_75 a 79;1
66;1;J45;NULL;17_80 y más;3
06;2;J20;NULL;17_80 y más;11
94;1;A04;NULL;12_55 a 59;1
02;1;K81;NULL;15_70 a 74;1
02;1;C38;NULL;15_70 a 74;1
70;1;I69;NULL;15_70 a 74;6
14;2;J69;NULL;02_1 a 9;1
22;2;V23;NULL;09_40 a 44;4
06;1;I50;NULL;99_Sin especificar;34
86;2;D61;NULL;15_70 a 74;1
82;1;E74;NULL;02_1 a 9;1
02;2;X59;NULL;12_55 a 59;3
82;1;K26;NULL;16_75 a 79;3
74;2;C48;NULL;17_80 y más;1
22;2;R96;NULL;02_1 a 9;1
86;1;V24;NULL;06_25 a 29;2
54;1;K72;NULL;11_50 a 54;6
06;1;J18;NULL;16_75 a 79;1154
10;2;M19;NULL;17_80 y más;1
54;1;C64;NULL;15_70 a 74;2
90;1;V24;NULL;04_15 a 19;2
38;2;C25;NULL;17_80 y más;6
99;1;C64;NULL;16_75 a 79;1
06;2;C73;NULL;15_70 a 74;2
06;2;J84;NULL;09_40 a 44;2
22;2;C64;NULL;08_35 a 39;1
26;2;C53;NULL;09_40 a 44;4
86;1;V20;NULL;13_60 a 64;1
06;2;I67;NULL;11_50 a 54;10
99;1;K63;NULL;13_60 a 64;1
02;2;K85;NULL;12_55 a 59;1
54;1;J18;NULL;06_25 a 29;3
22;2;J18;NULL;15_70 a 74;57
50;2;W18;NULL;17_80 y más;5
38;1;E14;NULL;14_65 a 69;6
22;1;J44;NULL;10_45 a 49;2
22;2;V23;NULL;14_65 a 69;1
34;1;A50;NULL;01_Menor de 1 año;1
66;2;Y30;NULL;06_25 a 29;1
30;2;R96;NULL;16_75 a 79;2
30;2;J69;NULL;16_75 a 79;2
62;2;A04;NULL;01_Menor de 1 año;1
82;2;W17;NULL;16_75 a 79;1
74;1;C16;NULL;16_75 a 79;4
18;1;X70;NULL;05_20 a 24;17
14;1;Q43;NULL;02_1 a 9;1
62;1;I10;NULL;14_65 a 69;3
06;2;E03;NULL;17_80 y más;4
82;1;K65;NULL;10_45 a 49;6
90;2;Y83;NULL;17_80 y más;4
06;1;R99;NULL;11_50 a 54;67
62;2;J44;NULL;17_80 y más;26
46;1;K56;NULL;17_80 y más;1
06;2;E87;NULL;04_15 a 19;1
82;2;V24;NULL;03_10 a 14;1
66;2;B20;NULL;09_40 a 44;2
50;2;M34;NULL;07_30 a 34;1
14;2;I38;NULL;15_70 a 74;1
62;2;D53;NULL;08_35 a 39;1
70;1;C71;NULL;13_60 a 64;1
54;1;N20;NULL;14_65 a 69;1
70;1;J98;NULL;14_65 a 69;4
54;1;K76;NULL;06_25 a 29;1
02;2;A04;NULL;15_70 a 74;1
06;2;D32;NULL;16_75 a 79;3
42;2;C18;NULL;16_75 a 79;7
74;1;I64;NULL;12_55 a 59;1
30;2;I50;NULL;10_45 a 49;1
02;2;C38;NULL;17_80 y más;3
14;2;I20;NULL;15_70 a 74;1
02;1;J15;NULL;17_80 y más;59
82;2;D48;NULL;13_60 a 64;1
70;2;K65;NULL;14_65 a 69;1
06;1;Q87;NULL;08_35 a 39;1
90;1;C68;NULL;15_70 a 74;1
50;2;J18;NULL;14_65 a 69;27
86;2;I73;NULL;14_65 a 69;1
06;1;I15;NULL;13_60 a 64;1
46;2;N39;NULL;13_60 a 64;2
02;2;C85;NULL;11_50 a 54;1
06;1;X64;NULL;07_30 a 34;2
18;2;U07;NULL;11_50 a 54;2
70;1;L97;NULL;17_80 y más;2
22;2;C53;NULL;14_65 a 69;5
06;2;D53;NULL;17_80 y más;20
66;2;C43;NULL;14_65 a 69;1
14;1;I50;NULL;15_70 a 74;95
14;2;J45;NULL;15_70 a 74;3
62;2;I50;NULL;17_80 y más;90
54;1;G20;NULL;17_80 y más;9
90;2;C76;NULL;14_65 a 69;1
74;2;I10;NULL;13_60 a 64;3
26;1;I74;NULL;14_65 a 69;1
14;2;C41;NULL;15_70 a 74;1
58;1;C18;NULL;10_45 a 49;1
06;1;Y21;NULL;10_45 a 49;1
90;2;R99;NULL;11_50 a 54;4
38;1;C25;NULL;15_70 a 74;6
06;1;W79;NULL;02_1 a 9;1
90;1;J84;NULL;17_80 y más;3
30;2;E66;NULL;12_55 a 59;1
38;2;N39;NULL;09_40 a 44;1
54;1;W13;NULL;14_65 a 69;2
22;2;N04;NULL;14_65 a 69;1
46;2;C64;NULL;14_65 a 69;1
34;1;K85;NULL;10_45 a 49;1
18;1;F10;NULL;16_75 a 79;2
02;2;Y34;NULL;17_80 y más;12
06;1;G40;NULL;07_30 a 34;1
62;2;Q23;NULL;01_Menor de 1 año;1
18;1;K74;NULL;11_50 a 54;3
02;2;I47;NULL;09_40 a 44;1
99;1;A41;NULL;99_Sin especificar;12
74;2;I60;NULL;11_50 a 54;1
70;1;C49;NULL;04_15 a 19;1
58;1;X00;NULL;03_10 a 14;1
06;1;G12;NULL;14_65 a 69;7
90;2;G03;NULL;11_50 a 54;1
26;2;C38;NULL;15_70 a 74;1
18;1;C81;NULL;13_60 a 64;1
70;1;D38;NULL;17_80 y más;1
22;2;C02;NULL;14_65 a 69;1
06;2;G62;NULL;17_80 y más;3
54;2;E03;NULL;15_70 a 74;1
54;1;K55;NULL;17_80 y más;4
02;1;J18;NULL;13_60 a 64;51
22;1;C09;NULL;09_40 a 44;1
