PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
02;1;G93;NULL;01_Menor de 1 año;3
02;1;C67;NULL;16_75 a 79;19
06;1;G62;NULL;17_80 y más;2
06;2;K65;NULL;13_60 a 64;21
50;2;I61;NULL;13_60 a 64;4
58;1;K81;NULL;17_80 y más;1
46;2;R99;NULL;02_1 a 9;1
30;2;C95;NULL;14_65 a 69;2
70;1;I24;NULL;16_75 a 79;5
06;1;K42;NULL;15_70 a 74;1
54;2;E10;NULL;17_80 y más;2
06;1;C92;NULL;04_15 a 19;2
50;1;D38;NULL;13_60 a 64;6
70;2;N39;NULL;17_80 y más;14
06;2;C90;NULL;14_65 a 69;16
30;1;K85;NULL;10_45 a 49;1
54;1;P24;NULL;01_Menor de 1 año;3
38;2;C53;NULL;14_65 a 69;3
46;1;C26;NULL;16_75 a 79;1
74;1;B24;NULL;14_65 a 69;1
82;2;G12;NULL;08_35 a 39;1
50;2;E11;NULL;15_70 a 74;20
94;1;U07;NULL;06_25 a 29;1
66;1;E14;NULL;15_70 a 74;23
70;1;I67;NULL;15_70 a 74;6
70;1;I35;NULL;17_80 y más;7
06;1;E46;NULL;14_65 a 69;8
86;1;J80;NULL;17_80 y más;1
18;1;C80;NULL;14_65 a 69;4
06;2;G40;NULL;07_30 a 34;2
78;2;P07;NULL;01_Menor de 1 año;1
18;1;M24;NULL;17_80 y más;1
70;2;I12;NULL;15_70 a 74;2
06;1;D37;NULL;06_25 a 29;1
82;1;C80;NULL;08_35 a 39;1
30;2;K55;NULL;14_65 a 69;1
46;2;J18;NULL;11_50 a 54;1
86;2;I69;NULL;15_70 a 74;1
02;2;B99;NULL;17_80 y más;5
06;2;V89;NULL;02_1 a 9;3
22;2;C67;NULL;17_80 y más;2
06;2;C02;NULL;12_55 a 59;1
90;9;J98;NULL;09_40 a 44;1
06;9;L90;NULL;17_80 y más;1
78;1;I21;NULL;09_40 a 44;2
90;2;N18;NULL;17_80 y más;15
14;1;V89;NULL;11_50 a 54;3
38;1;C25;NULL;17_80 y más;1
62;2;G30;NULL;15_70 a 74;1
94;1;C16;NULL;12_55 a 59;1
06;1;Y31;NULL;07_30 a 34;2
30;1;R68;NULL;15_70 a 74;20
34;1;J18;NULL;08_35 a 39;2
86;2;B21;NULL;10_45 a 49;1
90;1;B20;NULL;10_45 a 49;4
58;2;I70;NULL;17_80 y más;1
30;1;J85;NULL;13_60 a 64;1
14;1;K44;NULL;08_35 a 39;1
14;1;J46;NULL;04_15 a 19;1
34;2;P25;NULL;01_Menor de 1 año;1
82;2;C25;NULL;15_70 a 74;29
70;1;I61;NULL;17_80 y más;11
02;1;Y28;NULL;06_25 a 29;5
14;1;V27;NULL;04_15 a 19;2
54;2;C56;NULL;13_60 a 64;3
18;2;K65;NULL;17_80 y más;2
06;1;K57;NULL;15_70 a 74;3
18;2;C54;NULL;15_70 a 74;1
06;1;B16;NULL;11_50 a 54;2
18;1;X74;NULL;04_15 a 19;1
22;1;I38;NULL;12_55 a 59;1
86;1;J86;NULL;16_75 a 79;1
06;1;E87;NULL;12_55 a 59;3
06;1;I77;NULL;07_30 a 34;1
42;2;C80;NULL;16_75 a 79;1
42;2;X71;NULL;15_70 a 74;1
86;1;V04;NULL;16_75 a 79;1
06;2;D58;NULL;17_80 y más;3
06;2;F01;NULL;16_75 a 79;4
06;9;C76;NULL;08_35 a 39;1
78;1;I80;NULL;17_80 y más;1
74;2;C48;NULL;17_80 y más;1
82;1;K26;NULL;16_75 a 79;2
06;1;J18;NULL;16_75 a 79;866
10;2;M19;NULL;17_80 y más;2
54;1;K72;NULL;11_50 a 54;1
06;2;J84;NULL;09_40 a 44;3
06;2;C73;NULL;15_70 a 74;9
38;2;C25;NULL;17_80 y más;5
38;1;L98;NULL;12_55 a 59;1
54;1;C64;NULL;15_70 a 74;6
14;1;K85;NULL;09_40 a 44;3
54;2;I61;NULL;05_20 a 24;1
06;2;I67;NULL;11_50 a 54;9
06;1;D48;NULL;01_Menor de 1 año;1
26;2;C53;NULL;09_40 a 44;2
90;1;C62;NULL;02_1 a 9;1
34;1;A50;NULL;01_Menor de 1 año;1
22;2;J18;NULL;15_70 a 74;36
22;1;N39;NULL;10_45 a 49;1
38;1;E14;NULL;14_65 a 69;11
54;1;J18;NULL;06_25 a 29;3
50;2;W18;NULL;17_80 y más;5
50;1;M31;NULL;14_65 a 69;1
70;1;D64;NULL;13_60 a 64;1
78;1;I34;NULL;09_40 a 44;1
30;1;K75;NULL;08_35 a 39;1
30;2;R96;NULL;16_75 a 79;1
30;2;J69;NULL;16_75 a 79;5
18;1;X70;NULL;05_20 a 24;12
38;1;C41;NULL;09_40 a 44;1
62;1;I10;NULL;14_65 a 69;2
74;1;C16;NULL;16_75 a 79;2
66;2;C73;NULL;11_50 a 54;1
06;2;E03;NULL;17_80 y más;7
